inds.id life.sg.status ages mf FP MP year year_samp
FF_111 J 1 1 Z_155 CC_604 2010 2010
FF_114 J 1 0 V_715 CC_629 2010 2010
FF_126 J 1 1 BB_685 CC_697 2010 2010
FF_134 J 1 1 P_732 CC_724 2010 2010
FF_144 J 1 1 BB_75 CC_770 2010 2010
FF_152 J 1 0 BB_435 BB_27 2010 2010
FF_174 J 1 1 CC_522 BB_222 2010 2010
FF_214 J 1 1 AA_797 BB_533 2010 2010
FF_232 J 1 1 X_507 BB_610 2010 2010
FF_252 J 1 1 T_1069 BB_746 2010 2010
FF_257 J 1 1 BB_401 BB_766 2010 2010
FF_267 J 1 0 I_298 BB_802 2010 2010
FF_269 J 1 0 X_201 BB_807 2010 2010
FF_322 J 1 1 AA_731 AA_460 2010 2010
FF_326 J 1 1 CC_686 AA_494 2010 2010
FF_331 J 1 1 S_226 AA_526 2010 2010
FF_341 J 1 0 Y_724 AA_649 2010 2010
FF_351 J 1 0 CC_65 AA_726 2010 2010
FF_360 J 1 0 BB_754 AA_820 2010 2010
FF_380 J 1 1 Y_545 Z_143 2010 2010
FF_400 J 1 0 W_402 Z_413 2010 2010
FF_418 J 1 0 CC_783 Z_640 2010 2010
FF_420 J 1 1 X_115 Z_648 2010 2010
FF_455 J 1 0 CC_701 Y_196 2010 2010
FF_486 J 1 1 CC_279 Y_635 2010 2010
FF_519 J 1 1 CC_96 X_734 2010 2010
FF_551 J 1 1 BB_444 W_876 2010 2010
FF_560 J 1 1 S_546 V_254 2010 2010
FF_564 J 1 1 CC_780 V_500 2010 2010
FF_578 J 1 1 BB_545 U_93 2010 2010
FF_585 J 1 0 BB_463 U_537 2010 2010
FF_604 J 1 0 BB_269 T_399 2010 2010
FF_613 J 1 1 Z_626 T_1013 2010 2010
FF_624 J 1 1 CC_772 S_1205 2010 2010
FF_628 J 1 1 BB_73 R_869 2010 2010
EE_2 SA 2 0 Z_205 BB_11 2009 2010
EE_82 SA 2 0 V_132 BB_471 2009 2010
EE_88 SA 2 1 Y_430 BB_497 2009 2010
EE_147 SA 2 0 V_199 BB_746 2009 2010
EE_157 SA 2 1 Y_686 BB_777 2009 2010
